,Ethyl acetate Methyl salicylate ,
Raman shift [1/cm],Intensity,
2258.957,0.0076728,
2257.565,-0.0039287,
2256.172,0.0024864,
2254.780,0.003649,
2253.388,0.0058634,
2251.995,0.0088546,
2250.603,0.0092962,
2249.211,0.025312,
2247.818,6.1304E-5,
2246.426,0.0052348,
2245.034,0.0029699,
2243.641,-0.0098908,
2242.249,0.003719,
2240.857,0.0094019,
2239.464,0.0022166,
2238.072,0.0055375,
2236.680,0.0046192,
2235.287,0.016673,
2233.895,0.00056691,
2232.503,0.0050649,
2231.110,0.0042821,
2229.718,-0.004725,
2228.326,0.0076154,
2226.933,-2.0108E-8,
2225.541,0.0026235,
2224.149,-0.00052936,
2222.756,0.0025432,
2221.364,0.019342,
2219.972,-0.00021301,
2218.579,0.0058466,
2217.187,0.0079864,
2215.795,-0.0070321,
2214.402,0.0090332,
2213.010,-0.0012115,
2211.618,0.00073261,
2210.225,0.014106,
2208.833,-0.0058667,
2207.441,0.0070829,
2206.048,0.0053671,
2204.656,0.0094844,
2203.264,0.0057671,
2201.871,0.0022162,
2200.479,0.0085006,
2199.087,0.0077321,
2197.694,-0.0013412,
2196.302,0.0059078,
2194.910,-0.0016757,
2193.517,0.011564,
2192.125,0.008395,
2190.733,-0.00061249,
2189.340,0.0083978,
2187.948,0.006264,
2186.556,0.0032873,
2185.164,0.00077868,
2183.771,-0.010479,
2182.379,0.0059274,
2180.987,-0.0066951,
2179.594,0.0051463,
2178.202,0.0031988,
2176.810,0.0046528,
2175.417,0.01516,
2174.025,0.0051941,
2172.633,0.0044032,
2171.240,0.0029296,
2169.848,-0.00038135,
2168.456,0.0057447,
2167.063,-0.0048819,
2165.671,-0.00069607,
2164.279,0.0094228,
2162.886,-0.0021664,
2161.494,0.014773,
2160.102,6.8212E-5,
2158.709,0.0017685,
2157.317,0.013859,
2155.925,-0.0010539,
2154.532,0.003447,
2153.140,0.0041611,
2151.748,-0.00086477,
2150.355,0.0054034,
2148.963,0.0041516,
2147.571,0.00080497,
2146.178,0.010847,
2144.786,0.0014663,
2143.394,-0.0007568,
2142.001,0.0088247,
2140.609,0.0099201,
2139.217,0.0090251,
2137.824,0.0044185,
2136.432,0.0077881,
2135.040,0.010475,
2133.647,0.0061832,
2132.255,0.014388,
2130.863,-0.0014889,
2129.470,0.008252,
2128.078,0.014242,
2126.686,-0.0025658,
2125.293,-0.0065245,
2123.901,0.0037828,
2122.509,0.00012443,
2121.116,0.010809,
2119.724,0.0016494,
2118.332,-0.0040336,
2116.939,-0.00021257,
2115.547,-0.0051742,
2114.155,0.0070949,
2112.762,0.0099874,
2111.370,0.0052661,
2109.978,0.0057965,
2108.585,-0.00062919,
2107.193,0.0014929,
2105.801,0.0015128,
2104.409,-0.01041,
2103.016,0.0045983,
2101.624,-0.0014297,
2100.232,-0.0022863,
2098.839,0.0077503,
2097.447,0.0074693,
2096.055,0.0066695,
2094.662,0.019936,
2093.270,0.0020902,
2091.878,0.0062786,
2090.485,-0.00096913,
2089.093,-0.0042296,
2087.701,0.01165,
2086.308,-0.0071973,
2084.916,0.0013411,
2083.524,0.01009,
2082.131,0.00097104,
2080.739,0.001993,
2079.347,0.010234,
2077.954,0.0010365,
2076.562,0.01457,
2075.170,0.00021676,
2073.777,-0.0081335,
2072.385,0.0060726,
2070.993,-0.0014382,
2069.600,-0.002811,
2068.208,0.003004,
2066.816,-0.001041,
2065.423,0.0047367,
2064.031,0.0010069,
2062.639,-2.0226E-5,
2061.246,0.017694,
2059.854,0.0011951,
2058.462,0.0072509,
2057.069,0.010057,
2055.677,-0.0039796,
2054.285,-0.00084824,
2052.892,0.0045341,
2051.500,-0.0078549,
2050.108,0.0045466,
2048.715,0.00092998,
2047.323,-0.0034197,
2045.931,0.015279,
2044.538,0.0068243,
2043.146,0.0042328,
2041.754,0.0053012,
2040.361,0.0047323,
2038.969,0.0045547,
2037.577,-0.00029369,
2036.184,-0.0036998,
2034.792,0.01408,
2033.400,-0.0018163,
2032.007,0.0013282,
2030.615,0.011813,
2029.223,0.0022718,
2027.830,0.0074386,
2026.438,0.011839,
2025.046,0.0054122,
2023.654,0.0076839,
2022.261,0.0077704,
2020.869,0.0052572,
2019.477,0.00023571,
2018.084,-0.0024545,
2016.692,-0.0032609,
2015.300,0.012944,
2013.907,0.0031794,
2012.515,0.0085242,
2011.123,0.0081339,
2009.730,0.0013176,
2008.338,0.0027851,
2006.946,0.0053171,
2005.553,0.0036294,
2004.161,0.0063326,
2002.769,-0.0030284,
2001.376,-0.0030387,
1999.984,0.014106,
1998.592,0.0084313,
1997.199,-0.0010389,
1995.807,0.0044846,
1994.415,0.0078147,
1993.022,0.0096223,
1991.630,0.007343,
1990.238,0.0029182,
1988.845,0.010761,
1987.453,0.012403,
1986.061,0.00062374,
1984.668,0.0046814,
1983.276,0.0029933,
1981.884,0.0035326,
1980.491,0.01039,
1979.099,0.001889,
1977.707,0.0039315,
